method,attempts,success,action_mapping_error,semantic_error,output_contradiction,abstain_valid,abstain_unnecessary,invalid_output,manual_review,action_mapping_error_rate,semantic_error_rate,manual_review_rate
DIRECT_FREE,30,30,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
OPTION_DESCRIPTION,30,30,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
OPTION_FORMAL_OPERATION,30,25,5,0,0,0,0,0,0,16.67%,0.00%,0.00%
OPTION_FORMAL_POLICY,30,30,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
OPTION_FORMAL_POLICY_HARD_GATE,30,30,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
OPTION_VALUE_ONLY,30,30,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
VALUE_ENUM,30,29,0,0,1,0,0,0,0,0.00%,0.00%,0.00%
