method,semantic_type,attempts,coverage,oracle_accuracy,oracle_ci95_low,oracle_ci95_high,wrong_selection_rate,invalid_output_rate,abstain_rate,mean_runtime_ms
OPTION_DESCRIPTION_MASKED,ALL,60,0.9833333333333333,0.75,0.6276792992295218,0.8422347746994333,0.23333333333333334,0.0,0.016666666666666666,4909.92
OPTION_DESCRIPTION_MASKED,CROSS_SENTENCE_SCOPE,20,1.0,0.75,0.531299122381256,0.8881382985923343,0.25,0.0,0.0,4536.15
OPTION_DESCRIPTION_MASKED,GENERAL_RULE_EXCEPTION,20,0.95,0.7,0.4810271816464765,0.8545227551323956,0.25,0.0,0.05,4664.4
OPTION_DESCRIPTION_MASKED,TEMPORAL_VERSION,20,1.0,0.8,0.5839825677481064,0.919342337420202,0.2,0.0,0.0,5529.2
OPTION_DESCRIPTION_SHUFFLED,ALL,60,1.0,0.08333333333333333,0.03612045660173077,0.1806894201833441,0.9166666666666666,0.0,0.0,4954.15
OPTION_DESCRIPTION_SHUFFLED,CROSS_SENTENCE_SCOPE,20,1.0,0.1,0.027866481213768224,0.3010336452284873,0.9,0.0,0.0,5024.05
OPTION_DESCRIPTION_SHUFFLED,GENERAL_RULE_EXCEPTION,20,1.0,0.0,0.0,0.16112515805281938,1.0,0.0,0.0,4889.95
OPTION_DESCRIPTION_SHUFFLED,TEMPORAL_VERSION,20,1.0,0.15,0.052368745896216595,0.36041886474075696,0.85,0.0,0.0,4948.45
