method,attempts,events,selected,oracle_successes,oracle_accuracy,wrong_selection_rate,abstain_rate,qwen_calls,qwen_call_rate,direct_decisions,direct_decision_rate,total_runtime_ms,qwen_runtime_minutes,mean_runtime_ms_all_attempts,mean_runtime_ms_qwen_calls,total_prompt_eval_count,total_eval_count,total_token_count,qwen_prompt_eval_count,qwen_eval_count,qwen_token_count,mean_total_tokens_qwen_calls,formal_policy_required,formal_policy_events_counted,formal_policy_complexity_points,formal_policy_complexity_unit,measured_annotation_time,formal_policy_facts_count,formal_policy_rules_count,formal_policy_conditions_count,formal_policy_forbidden_marker_events,policy_complexity_basis
DIRECT_FREE,150,30,137,137,0.9133333333333333,0.0,0.0,150,1.0,0,0.0,536126,8.935433333333334,3574.173333333333,3574.173333333333,136590,14664,151254,136590,14664,151254,1008.36,False,0,0,,,0,0,0,0,not policy-available method; formal-policy construction cost not counted
OPTION_FORMAL_OPERATION,150,30,147,147,0.98,0.0,0.02,150,1.0,0,0.0,496757,8.279283333333334,3311.713333333333,3311.713333333333,238380,12157,250537,238380,12157,250537,1670.2466666666667,False,0,0,,,0,0,0,0,not policy-available method; formal-policy construction cost not counted
OPTION_FORMAL_POLICY,150,30,150,150,1.0,0.0,0.0,150,1.0,0,0.0,438672,7.3112,2924.48,2924.48,288105,10914,299019,288105,10914,299019,1993.46,True,30,1330,heuristic_points_not_measured_minutes,False,120,60,95,0,"policy cost from formal-policy-source-cost-test-details.csv; heuristic complexity proxy, not measured annotation wall time"
OPTION_FORMAL_POLICY_HARD_GATE,150,30,150,150,1.0,0.0,0.0,0,0.0,150,1.0,0,0.0,0,0,0,0,0,0,0,0,0,True,30,1330,heuristic_points_not_measured_minutes,False,120,60,95,0,"policy cost from formal-policy-source-cost-test-details.csv; heuristic complexity proxy, not measured annotation wall time"
OPTION_VALUE_ONLY,150,30,149,149,0.9933333333333333,0.0,0.006666666666666667,150,1.0,0,0.0,491235,8.18725,3274.9,3274.9,155535,12116,167651,155535,12116,167651,1117.6733333333334,False,0,0,,,0,0,0,0,not policy-available method; formal-policy construction cost not counted
