group,rows,measured_rows,mean_minutes,median_minutes,min_minutes,max_minutes,total_minutes,mean_policy_complexity_points,minutes_per_complexity_point,unique_gate_decision_rate,oracle_correct_after_blind_check_rate,mean_revision_count
ALL,12,12,30.083,30.5,20.0,42.0,361.0,42.333,0.71063,1.0,1.0,1.083
CROSS_SENTENCE_SCOPE,4,4,35.5,35.0,30.0,42.0,142.0,41.75,0.8503,1.0,1.0,1.25
GENERAL_RULE_EXCEPTION,4,4,31.25,30.0,27.0,38.0,125.0,41.75,0.7485,1.0,1.0,1.0
TEMPORAL_VERSION,4,4,23.5,21.5,20.0,31.0,94.0,43.5,0.54023,1.0,1.0,1.0
