method,semantic_type,attempts,coverage,oracle_accuracy,oracle_ci95_low,oracle_ci95_high,wrong_selection_rate,invalid_output_rate,abstain_rate,mean_runtime_ms
OPTION_FORMAL_POLICY,ALL,40,1.0,0.725,0.5716504419378943,0.8389198375233267,0.275,0.0,0.0,3740.6
OPTION_FORMAL_POLICY,GENERAL_RULE_EXCEPTION,20,1.0,0.7,0.4810271816464765,0.8545227551323956,0.3,0.0,0.0,3714.25
OPTION_FORMAL_POLICY,TEMPORAL_VERSION,20,1.0,0.75,0.531299122381256,0.8881382985923343,0.25,0.0,0.0,3766.95
OPTION_FORMAL_POLICY_HARD_GATE,ALL,40,1.0,1.0,0.9123783988027135,1.0,0.0,0.0,0.0,0
OPTION_FORMAL_POLICY_HARD_GATE,GENERAL_RULE_EXCEPTION,20,1.0,1.0,0.8388748419471806,1.0,0.0,0.0,0.0,0
OPTION_FORMAL_POLICY_HARD_GATE,TEMPORAL_VERSION,20,1.0,1.0,0.8388748419471806,1.0,0.0,0.0,0.0,0
