method,semantic_type,attempts,coverage,oracle_accuracy,oracle_ci95_low,oracle_ci95_high,wrong_selection_rate,invalid_output_rate,abstain_rate,mean_runtime_ms
OPTION_FORMAL_OPERATION,ALL,100,0.69,0.28,0.20139685211186212,0.3748802870992116,0.41,0.0,0.31,5069.68
OPTION_FORMAL_OPERATION,CROSS_SENTENCE_SCOPE,40,0.575,0.35,0.2213452887317629,0.5049411916274231,0.225,0.0,0.425,4868.98
OPTION_FORMAL_OPERATION,GENERAL_RULE_EXCEPTION,20,0.9,0.0,0.0,0.16112515805281938,0.9,0.0,0.1,5031.15
OPTION_FORMAL_OPERATION,TEMPORAL_VERSION,40,0.7,0.35,0.2213452887317629,0.5049411916274231,0.35,0.0,0.3,5289.65
