event_id,semantic_type,selection_status,applicable_rule_id,allowed_values,survivor_count,selected_candidate_id,selected_value,selection_error,candidate_owl,triples_removed,triples_added,minimal_edit_gate,reasoner_result,reasoner_runtime_ms,reasoner_gate,source_triggers_repair_cq,candidate_satisfies_repair_cq,repair_cq_message,oracle_loaded_after_selection,oracle_candidate_id,oracle_value,selection_oracle_correct,full_closure_success
EXT_E001,TEMPORAL_VERSION,SELECTED,EXT_E001_2026_SEASONAL_SPLIT,spring=1100;summer_autumn=900;total=2000,1,CAND_002,spring=1100;summer_autumn=900;total=2000,,benchmark\external-real-v1\built\candidate-owls\EXT_E001\CAND_002.owl,1,1,True,CONSISTENT,485,True,True,True,,True,CAND_002,spring=1100;summer_autumn=900;total=2000,True,True
EXT_E002,CROSS_SENTENCE_SCOPE,SELECTED,EXT_E002_FIVE_LEVEL_INTERPRETATION_SCOPE,five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60,1,CAND_002,five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60,,benchmark\external-real-v1\built\candidate-owls\EXT_E002\CAND_002.owl,1,1,True,CONSISTENT,478,True,True,True,,True,CAND_002,five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60,True,True
EXT_E003,GENERAL_RULE_EXCEPTION,SELECTED,EXT_E003_2026_ACCIDENT_DATE_LIMIT_FORMULA,formula=accident_date_limit_times_loss_rate,1,CAND_002,formula=accident_date_limit_times_loss_rate,,benchmark\external-real-v1\built\candidate-owls\EXT_E003\CAND_002.owl,1,1,True,CONSISTENT,496,True,True,True,,True,CAND_002,formula=accident_date_limit_times_loss_rate,True,True
