method,independent_error_events,attempts,selected,abstained,coverage,safe_accepts,safe_accept_rate,safe_accept_95ci_low,safe_accept_95ci_high,unsafe_accepts,unsafe_accept_rate,accepted_precision,oracle_available,oracle_successes,oracle_success_rate
FIRST_CANDIDATE_ORDER_BIASED,8,8,8,0,1.0,8,1.0,0.6755924351161198,1.0,0,0.0,1.0,8,8,1.0
HASH_FIRST,8,800,800,0,1.0,433,0.54125,0.506605427988722,0.5755003147243098,367,0.45875,0.54125,800,433,0.54125
RANDOM,8,800,800,0,1.0,432,0.54,0.5053543911069884,0.5742632987965575,368,0.46,0.54,800,432,0.54
UNIQUE_MIN_EDIT,8,8,3,5,0.375,2,0.25,0.071479212752109,0.5907245696898311,1,0.125,0.6666666666666666,3,2,0.25
REASONER_UNIQUE_ONLY,8,8,2,6,0.25,2,0.25,0.071479212752109,0.5907245696898311,0,0.0,1.0,2,2,0.25
SYMBOLIC_UNIQUE_FULL_GATE,8,8,7,1,0.875,7,0.875,0.5291118177871464,0.9775825085499433,0,0.0,1.0,7,7,0.875
SYMBOLIC_FULL_GATE_TIEBREAK,8,8,8,0,1.0,8,1.0,0.6755924351161198,1.0,0,0.0,1.0,8,8,1.0
QWEN_FORMAL_FEEDBACK_OBSERVED,5,25,25,0,1.0,25,1.0,0.8668077490609515,0.9999999999999999,0,0.0,1.0,25,25,1.0
