event_id,semantic_type,run,seed,status,runtime_ms,done_reason,prompt_eval_count,eval_count,json_valid,schema_valid,validation_reason,abstain,forbidden_markers,candidate_blind_input,output_file,error
EXT_E008,TEMPORAL_VERSION,1,20260820,GENERATED,6915,stop,902,234,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E008-run1-seed20260820.json,
EXT_E008,TEMPORAL_VERSION,2,20260821,GENERATED,7358,stop,902,281,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E008-run2-seed20260821.json,
EXT_E008,TEMPORAL_VERSION,3,20260822,GENERATED,6180,stop,902,241,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E008-run3-seed20260822.json,
EXT_E008,TEMPORAL_VERSION,4,20260823,GENERATED,6742,stop,902,232,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E008-run4-seed20260823.json,
EXT_E008,TEMPORAL_VERSION,5,20260824,GENERATED,7229,stop,902,233,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E008-run5-seed20260824.json,
EXT_E009,TEMPORAL_VERSION,1,20260820,GENERATED,7793,stop,902,275,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E009-run1-seed20260820.json,
EXT_E009,TEMPORAL_VERSION,2,20260821,GENERATED,6799,stop,902,245,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E009-run2-seed20260821.json,
EXT_E009,TEMPORAL_VERSION,3,20260822,GENERATED,7079,stop,902,238,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E009-run3-seed20260822.json,
EXT_E009,TEMPORAL_VERSION,4,20260823,GENERATED,7105,stop,902,240,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E009-run4-seed20260823.json,
EXT_E009,TEMPORAL_VERSION,5,20260824,GENERATED,6766,stop,902,230,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E009-run5-seed20260824.json,
EXT_E010,TEMPORAL_VERSION,1,20260820,GENERATED,6698,stop,904,232,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E010-run1-seed20260820.json,
EXT_E010,TEMPORAL_VERSION,2,20260821,GENERATED,8608,stop,904,286,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E010-run2-seed20260821.json,
EXT_E010,TEMPORAL_VERSION,3,20260822,GENERATED,6192,stop,904,232,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E010-run3-seed20260822.json,
EXT_E010,TEMPORAL_VERSION,4,20260823,GENERATED,6305,stop,904,227,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E010-run4-seed20260823.json,
EXT_E010,TEMPORAL_VERSION,5,20260824,GENERATED,6195,stop,904,232,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E010-run5-seed20260824.json,
EXT_E011,TEMPORAL_VERSION,1,20260820,GENERATED,8179,stop,904,288,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E011-run1-seed20260820.json,
EXT_E011,TEMPORAL_VERSION,2,20260821,GENERATED,7680,stop,904,239,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E011-run2-seed20260821.json,
EXT_E011,TEMPORAL_VERSION,3,20260822,GENERATED,7304,stop,904,229,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E011-run3-seed20260822.json,
EXT_E011,TEMPORAL_VERSION,4,20260823,GENERATED,7555,stop,904,236,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E011-run4-seed20260823.json,
EXT_E011,TEMPORAL_VERSION,5,20260824,GENERATED,7301,stop,904,230,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E011-run5-seed20260824.json,
EXT_E012,TEMPORAL_VERSION,1,20260820,GENERATED,7135,stop,904,243,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E012-run1-seed20260820.json,
EXT_E012,TEMPORAL_VERSION,2,20260821,GENERATED,7457,stop,904,284,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E012-run2-seed20260821.json,
EXT_E012,TEMPORAL_VERSION,3,20260822,GENERATED,6281,stop,904,231,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E012-run3-seed20260822.json,
EXT_E012,TEMPORAL_VERSION,4,20260823,GENERATED,7222,stop,904,240,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E012-run4-seed20260823.json,
EXT_E012,TEMPORAL_VERSION,5,20260824,GENERATED,8101,stop,904,243,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E012-run5-seed20260824.json,
EXT_E013,CROSS_SENTENCE_SCOPE,1,20260820,GENERATED,8351,stop,889,294,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E013-run1-seed20260820.json,
EXT_E013,CROSS_SENTENCE_SCOPE,2,20260821,GENERATED,10508,stop,889,292,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E013-run2-seed20260821.json,
EXT_E013,CROSS_SENTENCE_SCOPE,3,20260822,GENERATED,9174,stop,889,297,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E013-run3-seed20260822.json,
EXT_E013,CROSS_SENTENCE_SCOPE,4,20260823,GENERATED,7853,stop,889,297,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E013-run4-seed20260823.json,
EXT_E013,CROSS_SENTENCE_SCOPE,5,20260824,GENERATED,10060,stop,889,304,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E013-run5-seed20260824.json,
EXT_E014,CROSS_SENTENCE_SCOPE,1,20260820,GENERATED,8799,stop,893,300,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E014-run1-seed20260820.json,
EXT_E014,CROSS_SENTENCE_SCOPE,2,20260821,GENERATED,10163,stop,893,295,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E014-run2-seed20260821.json,
EXT_E014,CROSS_SENTENCE_SCOPE,3,20260822,GENERATED,8464,stop,893,292,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E014-run3-seed20260822.json,
EXT_E014,CROSS_SENTENCE_SCOPE,4,20260823,GENERATED,8162,stop,893,256,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E014-run4-seed20260823.json,
EXT_E014,CROSS_SENTENCE_SCOPE,5,20260824,GENERATED,9489,stop,893,267,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E014-run5-seed20260824.json,
EXT_E015,CROSS_SENTENCE_SCOPE,1,20260820,GENERATED,9541,stop,891,331,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E015-run1-seed20260820.json,
EXT_E015,CROSS_SENTENCE_SCOPE,2,20260821,GENERATED,9013,stop,891,298,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E015-run2-seed20260821.json,
